,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
newspaper,Newspaper,报纸,Periódico,समाचार पत्र,جريدة,Jornal,Газета,新聞,Surat kabar,Zeitung,신문,Un journal,వార్తాపత్రిక,Giornale quotidiano,Pahayagan
toy,Toy,玩具,Juguete,खिलौने,عروسه لعبه,Brinquedo,Игрушка,おもちゃ,Dolanan,Spielzeug,장난감,Jouet,టాయ్,Giocattolo,Laruan
circuit,Circuit,电路,Circuito,सर्किट,دائرة كهربائية,O circuito,Схема,回路,Sirkuit,Schaltkreis,회로,Circuit,సర్క్యూట్,Circuito,Circuit.
layer,Layer,层,Capa,परत,طبقة,Camada,Слой,層,Lapisan,Schicht,층,Couche,పొర,Strato,Layer
printed,Printed,打印,Impreso,मुद्रित,مطبوعة,Impresso,Напечатанный,印刷された,Dicithak,Gedruckt,인쇄물,Imprimé,ముద్రిత,Stampato,Printed.
slow,Slow,减缓,Lento,धीरे,بطيء,Devagar,Медленный,遅い,Slow,Langsam,느린,Lent,నెమ్మదిగా,Lento,Mabagal
removal,Removal,移动,Eliminación,निष्कासन,إزالة,Remoção,Удаление,除去,Ngilangi,Entfernung,제거,Suppression,తొలగింపు,Rimozione,Pag-alis
easier,Easier,更轻松,Más fácil,आसान,أسهل,Mais fácil,Полегче,より簡単に,Luwih gampang,Einfacher,쉽게,Plus facile,సులభంగా,Più facile,Mas madali
src,Src,SRC.,SRC,एसआरसी,SRC.,Src.,Сортировка,SRC,SRC,Src.,src.,Src,SRC.,Src.,SRC.
liability,Liability,责任,Responsabilidad,देयता,مسئولية قانونية,Responsabilidade,Обязанность,責任,Tanggung jawab,Haftung,책임,Responsabilité,బాధ్యత,Responsabilità,Pananagutan
trademark,Trademark,商标,Marca comercial,ट्रेडमार्क,علامة تجارية,Marca comercial,Торговая марка,商標,Merek dagang,Warenzeichen,등록 상표,Marque déposée,ట్రేడ్మార్క్,Marchio,Trademark
hip,Hip,时髦的,Cadera,कूल्हा,ورك او نتوء,Quadril,Бедро,股,Hip,Hüfte,잘 알고 있기,Hanche,హిప్,Anca,Hip.
printers,Printers,打印机,Impresoras,प्रिंटर,الطابعات,Impressoras,Принтеры,プリンタ,Printer,Drucker,프린터,Imprimantes,ప్రింటర్లు,Stampanti,Printer.
faqs,Faqs,常见问题解答,Preguntas frecuentes,पूछे जाने वाले प्रश्न,أسئلة وأجوبة,FAQs.,Faqs.,よくある質問,FAQ,FAQs,FAQs.,Faqs,FAQs.,FAQ.,Mga FAQ
nine,Nine,九,Nueve,नौ,تسع,Nove,Девять,九,Sanga,Neun,아홉,Neuf,తొమ్మిది,Nove,Siyam.
adding,Adding,添加,Añadido,जोड़ा जा रहा है,إضافة,Adicionando,Добавление,追加,Nambah,Hinzufügen,첨가,Ajouter,జోడించడం,Aggiunta,Pagdaragdag
kentucky,Kentucky,肯塔基州,Kentucky,केंटकी,كيناكي,Kentucky.,Кентукки,ケンタッキー,Kentucky,Kentucky,켄터키,Kentucky,కెంటుకీ,Kentucky,Kentucky
mostly,Mostly,大多,Principalmente,अधिकतर,خاصة,Majoritariamente,В основном,多くの場合,Biasane,Meist,주로,Principalement,ఎక్కువగా,Soprattutto,Karamihan
eric,Eric,埃里克,Eric,एरिक,إريك,Eric.,Эрик,エリック,Eric,Eric.,에릭의,Eric,ఎరిక్,Eric.,Eric.
spot,Spot,点,Lugar,स्थान,بقعة,Ver,"Пятно, место",スポット,Titik,Stelle,점,Endroit,స్పాట్,Individuare,Spot.
taylor,Taylor,泰勒,Taylor,टेलर,تايلور,Taylor.,Тейлор,t t,Taylor,Taylor,테일러,Taylor,టేలర్,Taylor.,Taylor
trackback,Trackback,追溯,Rastrear,वापसी का रास्ता,تتبع للوراء,Rastrear,Трекбен,後戻り,Trackback,Zurückverfolgen,트랙백,Retracer,Trackback.,Rintracciare,Trackback.
prints,Prints,印刷,Huellas dactilares,प्रिंटों,مطبوعات,Impressões.,Принты,印刷,Prints,Drucke,인쇄물,Imprimerie,ప్రింట్లు,Stampe,Mga kopya
spend,Spend,花费,Gastar,बिताना,أنفق,Gasta,Проводить,費やす,Nglampahi,Verbringen,경비,Dépenser,ఖర్చు,Trascorrere,Gumastos
factory,Factory,工厂,Fábrica,फ़ैक्टरी,مصنع,Fábrica,Фабрика,工場,Pabrik,Fabrik,공장,Usine,ఫ్యాక్టరీ,Fabbrica,Pabrika
interior,Interior,内部的,Interior,आंतरिक भाग,الداخلية,Interior,Интерьер,インテリア,Interior,Innere,내부,Intérieur,లోపలి భాగము,Interni.,Panloob
revised,Revised,修改,Revisado,संशोधित,مراجعة,Revisado,Пересмотренный,改訂,Diowahi,Überarbeitet,개정,modifié,సవరించబడింది,Rivisto,Binago
grow,Grow,生长,Crecer,बढ़ना,تنمو,Crescer,Расти,育つ,Tuwuh,Größer werden,자라다,Grandir,పెరుగు,Crescere,Lumaki
americans,Americans,美国人,Estadounidenses,अमेरिकियों,الأمريكيون,Americanos,Американцы,アメリカ人,Amerika,Amerikaner,미국인들,les Américains,అమెరికన్లు,Americani,Amerikano
optical,Optical,光学的,Óptico,ऑप्टिकल,بصري,Óptica,Оптически,視して,Optik,Optisch,광학,Optique,ఆప్టికల్,Ottico,Sa mata
promotion,Promotion,晋升,Promoción,पदोन्नति,ترقية وظيفية,Promoção,Продвижение,昇進,Promosi,Förderung,홍보,Promotion,ప్రమోషన్,Promozione,Promosyon
relative,Relative,相对的,Relativo,रिश्तेदार,نسبيا,Relativo,Родственник,相対的,Dulur,Relativ,상대적인,Relatif,సాపేక్షత,Parente,Kamag-anak
amazing,Amazing,惊人的,Increíble,अद्भुत,مدهش,Surpreendente,Удивительный,すばらしい,Amazing,Tolle,놀라운,Incroyable,అమేజింగ్,Sorprendente,Kahanga-hanga
clock,Clock,时钟,Reloj,घड़ी,ساعة,Relógio,Часы,時計,Jam,Uhr,시계,L'horloge,గడియారం,Orologio,Orasan
dot,Dot,点,Punto,दूरसंचार विभाग,نقطة,Ponto,Точка,ドット,Dot,Punkt,점,Point,చుక్క,Punto,Tuldok
hiv,Hiv,艾滋病病毒,VIH,HIV,فيروس العوز المناعي البشري,HIV,ВИЧ,HIV,HIV,HIV,하부,VIH,Hiv.,HIV,HIV.
identity,Identity,身份,Identidad,पहचान,هوية,Identidade,Личность,身元,Identitas,Identität,신원,Identité,గుర్తింపు,Identità,Pagkakakilanlan
suites,Suites,套房,Suites,सुइट्स,أجنحة,Suítes.,Люксы,スイート,Suites,Suiten,스위트 룸,Suites,సూట్లు,Suite,Suites.
conversion,Conversion,转换,Conversión,परिवर्तन,تحويل,Conversão,Преобразование,会話,Konversi,Wandlung,변환,Conversion,మార్పిడి,Conversione,Conversion
feeling,Feeling,感觉,Sentimiento,भावना,إحساس,Sentindo-me,Чувство,フィーリング,Koyo,Gefühl,감정,Sentiment,భావన,Sentimento,Pakiramdam
hidden,Hidden,隐,Oculto,छिपा हुआ,مختفي,Escondido,Скрытый,隠れた,Didhelikake,Versteckt,숨겨진,Caché,దాచిన,Nascosto,Nakatago
reasonable,Reasonable,合理的,Razonable,यथोचित,مسؤول,Razoável,Разумный,適正,Cukup,Vernünftig,합리적인,Raisonnable,సమంజసం,Ragionevole,Makatwirang.
victoria,Victoria,维多利亚,Victoria,विक्टोरिया,فيكتوريا,Victoria.,Виктория,ビクトリア,Victoria,Victoria.,빅토리아,Victoria,విక్టోరియా,Victoria,Victoria.
serial,Serial,序列号,De serie,धारावाहिक,مسلسل,Serial,Сериал,シリアル,Serial,Seriell.,연속물,En série,క్రమ,Seriale,Serial.
relief,Relief,宽慰,Alivio,राहत,تضاريس,Alívio,Облегчение,安心,Relief,Linderung,안도,Soulagement,ఉపశమనం,Sollievo,Relief
revision,Revision,修订,Revisión,संशोधन,مراجعة,Revisão,Редакция,リビジョン,Revisi,Revision,개정,Révision,పునర్విమర్శ,Revisione,Rebisyon
broadband,Broadband,宽带,Banda ancha,ब्रॉडबैंड,موجة عريضة,Banda larga,Широкополосный,ブロードバンド,Broadband,Breitband,광대역,Haut débit,బ్రాడ్బ్యాండ్,Banda larga,Broadband
influence,Influence,影响,Influencia,प्रभाव,تأثير,Influência,Влиять,影響,Pengaruh,Beeinflussen,영향,Influence,పలుకుబడి,Influenza,Impluwensya
ratio,Ratio,比率,Proporción,अनुपात,نسبة,Razão,Соотношение,比率,Rasio,Verhältnis,비율,Rapport,నిష్పత్తి,Rapporto,Ratio
pda,Pda,PDA,PDA,पीडीए,PDA,PDA.,PDA,PDA.,PDA,PDA,PDA.,Pda,Pda.,PDA.,PDA.
importance,Importance,重要性,Importancia,महत्त्व,أهمية,Importância,Важность,重要性,Penting,Bedeutung,중요성,Importance,ప్రాముఖ్యత,Importanza,Kahalagahan
rain,Rain,雨,Lluvia,वर्षा,مطر,Chuva,Дождь,雨,Udan,Regen,비,Pluie,వర్షం,Piovere,Ulan
onto,Onto,到,Sobre,पर,على,Para,На,上に,Menyang,Auf zu,...에,Sur,Onlo.,Su,Papunta
dsl,Dsl,DSL.,Dsl,डीएसएल,DSL.,Dsl.,Дсхоль,dsl.,DSL,Dsl.,DSL.,Dsl,DSL.,Dsl.,DSL.
planet,Planet,行星,Planeta,ग्रह,كوكب,Planeta,Планета,星,Planet,Planet,행성,Planète,ప్లానెట్,Pianeta,Planet.
webmaster,Webmaster,网站管理员,Administrador de página web,वेबमास्टर,مشرفي المواقع,Webmaster.,Веб-мастер,ウェブマスター,Webmaster,Webmaster,웹 마스터,Webmaster,వెబ్మాస్టర్,Webmaster.,Webmaster.
copies,Copies,副本,Copias,प्रतियां,نسخ,Cópias,Копии,コピー,Salinan,Kopien,사본,Copies,కాపీలు,Copie,Mga kopya
recipe,Recipe,食谱,Receta,विधि,وصفة,Receita,Рецепт приготовления,レシピ,Resep,Rezept,레시피,Recette,రెసిపీ,Ricetta,Recipe.
zum,Zum,ZUM,Zum,ज़म,زوم,Zum.,Zum.,zum,Zum,Schmusen,Zum.,Zum,జుమ్,Zum.,Zum.
permit,Permit,允许,Permiso,परमिट,يسمح,Permitir,Разрешать,許可証,Ijin,Erlauben,허용하다,Permis,అనుమతి,Permesso,Permit.
seeing,Seeing,see,Viendo,देख के,رؤية,Vendo,Видя,see see,Ndeleng,Sehen,봄,Voyant,చూడు,Vedendo,Nakikita
proof,Proof,证明,Prueba,सबूत,دليل,Prova,Доказательство,証拠,Bukti,Nachweisen,증거,Preuve,ప్రూఫ్,Prova,Patunay
dna,Dna,脱氧核糖核酸,ADN,डीएनए,الحمض النووي,DNA.,ДНК,DNA,DNA,Dna.,DNA,ADN,DNA.,DNA.,DNA.
diff,Diff,差,Difunto,अलग,فرق,Dif.,Развлекать,diff diff,Diff,Differne,다이버,Diffamer,తేడాలు,Diffidente,Diff
tennis,Tennis,网球,Tenis,टेनिस,تنس,tênis,Теннис,テニス,Tenis,Tennis,테니스,Tennis,టెన్నిస్,Tennis,Tennis
bass,Bass,低音,Bajo,बास,صوت عميق,Baixo,Бас,ベース,Bass,Bass,베이스,Basse,బాస్,Basso,Bass
prescription,Prescription,处方,Prescripción,नुस्खा,روشتة,Prescrição,Рецепт,処方,Resep,Verschreibung,처방,Prescription,ప్రిస్క్రిప్షన్,Prescrizione,Reseta
bedroom,Bedroom,卧室,Cuarto,शयनकक्ष,غرفة نوم,Quarto,спальная комната,寝室,Kamar turu,Schlafzimmer,침실,Chambre,బెడ్ రూమ్,Camera da letto,Silid-tulugan
empty,Empty,空的,Vacío,खाली,فارغة,Vazio,Пустой,空の,Kosong,Leer,비어있는,Vide,ఖాళీగా,Vuoto,Walang laman
instance,Instance,实例,Ejemplo,उदाहरण,نموذج,Instância,Пример,実例,Kayata,Beispiel,사례,Exemple,ఉదాహరణకు,Esempio,Halimbawa
hole,Hole,洞,Agujero,छेद,الفجوة,Buraco,Отверстие,穴,Bolongan,Loch,구멍,Trou,రంధ్రం,Foro,Butas
pets,Pets,宠物,Mascotas,पालतू जानवर,حيوانات أليفة,Pets.,Домашние питомцы,ペット,Pets,Haustiere,애완 동물,Animaux domestiques,పెంపుడు జంతువులు,Animali domestici,Mga Alagang Hayop
ride,Ride,骑,Paseo,सवारी,يركب,Andar de,Поездка,乗る,Nunggang,Fahrt,타다,Balade,రైడ్,Giro,Sumakay
licensed,Licensed,领有牌照,Con licencia,लाइसेंस,مرخص,Licenciado,Лицензированный,ライセンス,Dilisensi,Lizenziert,라이센스가 부여되었습니다,Autorisé,లైసెన్స్ పొందింది,Con licenza con licenza,Lisensyado
orlando,Orlando,奥兰多,Orlando,ऑरलैंडो,أورلاندو,Orlando,Орландо,オーランド,Orlando,Orlando.,올랜도,Orlando,ఓర్లాండో,Orlando.,Orlando.
specifically,Specifically,具体来说,Específicamente,विशेष रूप से,خاصة,Especificamente,Конкретно,具体的には,Khusus,Speziell,구체적으로 특별히,Spécifiquement,ప్రత్యేకంగా,In particolare,Partikular
tim,Tim,蒂姆,Tim,टिम,تيم,Tim.,Тим,ティム,Tim,Tim.,팀,Tim,Tim.,Timbro,Tim
bureau,Bureau,局,Oficina,ब्यूरो,مكتب,escritório,Бюро,局,Biro,Büro,국,bureau,బ్యూరో,Burea.,Bureau.
maine,Maine,缅因州,Maine,मैंने,مين,Maine.,Мейн,メインリー,Maine,Maine,메인,Maine,Maine,Maine,Maine.
sql,Sql,SQL.,Sql,एसक्यूएल,مقدم SQL.,Sql.,SQL.,SQL.,SQL,SQL.,SQL.,Sql,SQL.,Sql.,SQL.
represent,Represent,代表,Representar,प्रतिनिधित्व करना,تركيز,Representar,Представлять,代表する,Makili,Vertreten,대표하다,Représenter,ప్రాతినిధ్యం,Rappresentare,Kumakatawan sa
conservation,Conservation,保护,Conservación,संरक्षण,الحفاظ على,Conservação,Консервация,保全,Konservasi,Erhaltung,보존,Préservation,పరిరక్షణ,Conservazione,Konserbasyon
pair,Pair,一对,Par,जोड़ा,زوج,Par,Пара,ペア,Pasangan,Paar,쌍,Paire,జంట,Coppia,Pares
ideal,Ideal,理想的,Ideal,आदर्श,مثالي,Ideal,Идеально,理想,Cocog,Ideal,이상적인,Idéal,ఆదర్శ,Ideale,Perpekto
specs,Specs,眼镜,Especificaciones,ऐनक,المواصفات,Especificações.,Спецификация,スペック,Spek,Spezifikationen,명세서,Spécifications,Specs.,Specifiche,Specs.
recorded,Recorded,记录,Grabado,रिकॉर्डेड,مسجل,Gravado,Записано,記録された,Direkam,Verzeichnet,기록 된 것,Enregistré,నమోదు చేయబడింది,Registrato,Naitala
don,Don,大学教师,Don,डॉन,اتشح,vestir,Дон,ドン,Don,anziehen,두목,enfiler,డాన్,assistente,Don.
pieces,Pieces,件,Piezas,टुकड़े टुकड़े,قطع,Peças,Шт,pieces,Potongan,Stücke,조각,Pièces,ముక్కలు,Pezzi,Mga piraso
finished,Finished,完成的,Finalizado,ख़त्म होना,تم الانتهاء من,Finalizado,Законченный,終了した,Rampung,Fertig,완성 된,Fini,పూర్తయింది,Finito,Tapos na
parks,Parks,公园,Parques,पार्कों,الحدائق,Parques,Парки,公園,Taman,Parks,공원,Parcs,పార్కులు,Parchi,Parks.
dinner,Dinner,晚餐,Cena,रात का खाना,وجبة عشاء,Jantar,Обед,晩ごはん,Nedha bengi,Abendessen,저녁,Dîner,డిన్నర్,Cena,Hapunan
lawyers,Lawyers,律师,Abogados,वकीलों,محامون,Advogados de Advogados,Адвокаты,弁護士,Pengacara,Anwälte,변호사,Avocats,న్యాయవాదులు,Avvocati,Mga Abogado
